t-SNE Feature 1,t-SNE Feature 2,cluster
45.97682,19.522478,7
-87.6857,-20.03765,3
0.8631425,-24.375416,2
59.386765,22.187012,7
-27.426125,87.02952,3
-3.893748,57.90906,0
29.951685,-15.256402,12
-21.007751,2.0627177,11
22.157845,47.83826,4
-1.6927973,-56.50559,2
-17.99834,18.526777,11
-27.426125,87.02952,3
-20.42805,-35.478817,10
31.345224,55.489864,4
-87.6857,-20.03765,3
45.98946,12.194098,7
12.220144,13.437596,6
-15.592643,60.227596,0
-41.38281,-16.954496,9
-87.6857,-20.03765,3
-31.837126,-40.385742,10
-58.820766,12.804771,5
32.698902,-5.30207,12
-29.897152,15.188674,11
71.889565,-24.72702,1
28.698082,-3.56676,12
-25.358274,-60.80322,10
-56.862106,24.503653,5
-64.94328,6.5711884,5
-0.342087,49.95579,0
36.04334,-14.178295,12
-23.564491,1.9633883,11
20.775337,21.854141,6
28.9632,-55.712456,8
2.3850682,16.942465,6
-54.93767,12.120416,5
63.328293,7.3766212,7
3.4149122,24.298534,6
-45.245182,-16.287886,9
56.884064,8.07157,7
18.19729,10.303965,6
-46.671124,-10.872283,9
12.161255,28.05291,6
-87.6857,-20.03765,3
-5.6972985,-14.2138405,2
-59.027256,-15.997392,9
-20.989626,-35.41912,10
3.339426,-45.830643,2
-18.425026,10.174261,11
26.311022,48.29598,4
-40.152542,69.920204,3
33.485863,-7.629112,12
2.590505,-49.136868,2
-13.003376,63.234226,0
36.938637,48.602135,4
